customerId,firstName, lastName, phone, email, gender,address,is_active
CUS50595231748,Steven,Meyer,(968) 497-6188,ewezimo@nap.am,Female,1605 Mivem Trail,FALSE
CUS41095949824,Vernon,Bowman,(679) 452-2816,azohu@ki.mg,Male,1117 Hela Terrace,TRUE
CUS77289220724,Louisa,Curtis,(281) 228-4979,zac@sih.gi,Male,929 Asuha Point,FALSE
CUS55697703960,Mary,Graham,(321) 707-6736,biz@login.kz,Female,474 Bikav Square,TRUE
CUS91382780948,Katherine,Sherman,(978) 216-6291,je@som.uz,Female,168 Ibimi Road,FALSE
CUS36947218124,Nathan,Lyons,(787) 974-4062,ap@ru.si,Female,1769 Nadpus Manor,TRUE
CUS15964882412,Mayme,Campbell,(562) 876-4720,ciwu@imfubu.mr,Male,131 Zioze Plaza,FALSE
CUS26768799060,Loretta,Vargas,(226) 607-7677,ju@viguhibe.bi,Female,1662 Ebpu Square,FALSE
CUS41482828460,Mildred,Lynch,(453) 244-5871,iheconba@vijuw.st,Female,217 Oteeb Manor,FALSE
CUS86644713624,Evan,Rice,(680) 599-5547,rif@awiliz.sn,Male,381 Luucu Manor,TRUE
CUS18553885024,Maud,Torres,(938) 281-4100,ezubus@tufup.kr,Female,731 Gapdog Point,TRUE
CUS99303985336,Sophie,Fowler,(323) 286-2171,elici@zem.tv,Female,1749 Gurop Pass,TRUE
CUS42551969148,Maude,Marshall,(778) 849-1853,wujvupave@lagesah.gov,Male,139 Hoheco Center,TRUE
CUS55761056324,Willie,Tucker,(871) 278-8835,zioce@pok.vu,Female,1664 Tucji Pass,FALSE
CUS11341685648,Luella,Rodriquez,(953) 279-1467,ic@wo.ec,Male,1317 Kafiw Square,TRUE
CUS55429722860,Katherine,Harvey,(655) 744-7178,gap@to.cv,Male,450 Zilzun Boulevard,FALSE
CUS43029339648,Jennie,Miles,(972) 563-7642,ce@bim.nz,Male,111 Curca Loop,TRUE
CUS96966287260,Lou,Davidson,(544) 859-9402,ji@gekuano.co.uk,Female,578 Hilfa Junction,TRUE
CUS54383397336,Corey,Wheeler,(479) 607-6120,aziuwuok@ul.sc,Male,1272 Weome Parkway,TRUE
CUS61363880324,Jerome,Bryant,(511) 720-4165,gefuszuf@bilaros.eh,Female,393 Mire Loop,TRUE
CUS24086580724,Brandon,Henry,(864) 626-6375,wosku@mulezlej.tw,Female,756 Isauno Pass,FALSE
CUS97543566636,Phillip,Atkins,(786) 236-8746,gebevame@kipkig.gr,Female,210 Hetil Square,FALSE
CUS78841250924,Cora,Hernandez,(824) 956-1832,gev@nuguwu.bv,Female,119 Itef Drive,TRUE
CUS35984920648,Ellen,Dean,(557) 755-3587,supzaru@rek.tp,Female,288 Heuj Boulevard,FALSE
CUS14848261836,Ernest,Erickson,(825) 833-7949,mo@ru.ai,Male,974 Mibri Trail,TRUE
CUS42283414136,Christina,Lane,(741) 303-2364,dat@geak.mg,Female,823 Alluk Park,TRUE
CUS47646753012,Betty,Stanley,(525) 908-4836,ogtozus@zaz.it,Male,1435 Wegnuz Loop,FALSE
CUS12145041636,Kevin,Hodges,(837) 800-5287,vanonhe@cige.lv,Male,1743 Vopu Lane,FALSE
CUS70214860460,Jayden,Mann,(533) 918-4700,pogizzuv@vujbovfow.uz,Female,1167 Gina Pass,TRUE
CUS85201800724,Madge,Pena,(671) 419-6731,doshi@ne.gb,Male,444 Injag Court,TRUE
CUS32053231236,John,Carr,(860) 908-6185,bu@puge.cc,Male,1085 Recmu Circle,TRUE
CUS80921864824,Jackson,Porter,(931) 729-3261,didofi@jop.kp,Female,1633 Butiz Glen,TRUE
CUS75053082948,Cecilia,Berry,(219) 506-6920,pudvi@pessip.li,Male,384 Etuuc Pass,TRUE
CUS53043186360,Marie,Stevens,(262) 383-1867,ke@fuwato.sh,Male,965 Laet Street,FALSE
CUS74356023848,Rose,Hammond,(447) 994-4505,hup@bub.an,Male,1477 Paumo Boulevard,FALSE
CUS89241188824,Gilbert,Jenkins,(761) 725-8148,menmo@dik.ne,Male,75 Ilerel Highway,FALSE
CUS65198797236,Dylan,Wise,(270) 879-1791,obgut@ogowi.bv,Male,473 Ifacec Court,TRUE
CUS62115425112,Jessie,Jones,(570) 541-5317,rip@cu.uk,Male,1614 Tucuc Park,TRUE
CUS13474221124,Lydia,Bennett,(718) 521-5335,utefagid@hi.ro,Male,1306 Couju Parkway,FALSE
CUS84921694112,Lucinda,Flores,(657) 672-3381,ivwerweh@izuzud.me,Male,1165 Jupsu Boulevard,TRUE
CUS71928330836,Alex,Griffin,(539) 536-4362,gas@jofamune.kg,Female,1974 Wowuw Manor,FALSE
CUS39946493560,Bradley,Watkins,(541) 898-2617,oge@ersohok.au,Male,963 Betzo Turnpike,FALSE
CUS33086239236,Florence,Chavez,(543) 820-2239,ez@jihci.bt,Male,885 Johwa Plaza,FALSE
CUS12821949448,Violet,Payne,(834) 509-3639,bidenwov@kehos.pn,Male,1138 Kazder Avenue,TRUE
CUS17938956248,Curtis,Davidson,(910) 428-9267,anu@dedun.ga,Female,687 Rogu Pass,TRUE
CUS93377940736,Madge,Lyons,(360) 953-5831,de@huh.dj,Female,1601 Ewnu Ridge,FALSE
CUS53470256148,Charles,McKenzie,(236) 848-2554,diwcoz@nuldan.vc,Male,1496 Iguja Pass,TRUE
CUS11637585060,Derrick,Hoffman,(288) 816-5805,karera@ga.ao,Male,257 Podo Manor,TRUE
CUS31654709824,Carrie,Logan,(322) 659-3194,lesoluw@nagup.gov,Male,1446 Koma Extension,TRUE
CUS62893576448,Katie,Cox,(667) 427-4880,cul@holtus.zm,Male,680 Kocpim Center,TRUE
CUS81232864336,Olivia,Haynes,(417) 888-7416,segrihte@toveja.fm,Female,552 Mipu Point,FALSE
CUS25834913836,Leon,Farmer,(380) 848-6266,lit@co.pl,Male,1326 Ejweh Park,TRUE
CUS50942611360,Rachel,Carroll,(545) 822-5929,cubrawafa@pagwef.az,Female,747 Onji Mill,TRUE
CUS54692308136,Dorothy,Guzman,(962) 330-1654,zu@pemfig.fi,Male,1041 Fegu View,TRUE
CUS69525248260,Edgar,Sullivan,(458) 608-2325,gotviv@dut.lc,Male,1857 Sudmos Drive,TRUE
CUS95712445936,Isaiah,Carlson,(276) 301-9533,vecpe@ro.ma,Female,31 Sepve Loop,FALSE
CUS52143820360,Lewis,Bradley,(801) 602-2037,noz@mouz.cm,Female,1400 Wugo River,FALSE
CUS60425823660,Francis,Day,(335) 594-6180,daguaw@bet.kz,Female,700 Ezbu Path,FALSE
CUS64144278224,Willie,Tucker,(758) 455-5530,tujeseki@mu.sl,Male,281 Kago View,TRUE
CUS79593547236,Justin,Morrison,(563) 675-9423,po@haguj.ng,Male,366 Itnil Trail,FALSE
CUS60014216960,Maurice,Daniels,(945) 331-1085,fuh@molivjuv.cv,Female,1234 Kolapu Circle,FALSE
CUS32481559924,Effie,Frazier,(250) 734-9543,jawtokli@taso.cy,Male,592 Naze Way,TRUE
CUS77590444460,Jackson,Potter,(600) 689-6584,inut@otu.com,Male,489 Ivaak Place,FALSE
CUS30083716212,Dora,Holloway,(328) 307-3788,kapbipok@bojuzwaz.ws,Female,764 Zibjep Parkway,FALSE
CUS44792763248,Virginia,Hammond,(940) 901-8061,wozcous@vow.tf,Female,1340 Nila Court,FALSE
CUS92690535648,Herman,Wolfe,(925) 907-4453,oc@cug.im,Male,1983 Lauma View,TRUE
CUS79208039636,Maude,Martinez,(582) 565-6399,gefvabik@azoadotow.bq,Male,847 Gigzug Path,FALSE
CUS45923741524,Margaret,Greer,(816) 362-4781,vopolmo@rege.bv,Male,220 Jufoj Ridge,FALSE
CUS23700290548,Dale,Bailey,(566) 908-4143,unaju@kotaik.jm,Female,863 Heag Grove,TRUE
CUS67714055460,Ian,Gross,(611) 832-4037,zalgit@tivsal.gn,Male,786 Kamdub Place,FALSE
CUS60130130448,Gussie,Nash,(458) 346-8648,kokhigeb@davu.np,Male,347 Vagi Heights,TRUE
CUS66457498436,Lucy,Henry,(686) 714-3556,ko@wazelmo.nl,Male,433 Povi Street,FALSE
CUS77091869748,Olivia,Turner,(512) 392-8021,cahuagi@as.it,Male,1416 Iweheb Glen,TRUE
CUS73631951948,Jay,McCarthy,(732) 889-2013,anseroz@le.vn,Female,370 Nipbat Path,TRUE
CUS19729519460,Curtis,Adkins,(565) 331-2887,lekhe@labenma.tf,Female,727 Woeno Manor,FALSE
CUS61541994124,Emma,Holland,(785) 739-1119,owtikta@ardow.iq,Female,1393 Sozgac Drive,FALSE
CUS79219210936,Micheal,Logan,(589) 938-5708,juki@peh.us,Male,976 Rudu Lane,FALSE
CUS48814235248,David,Carroll,(251) 312-3105,ho@caso.io,Male,37 Deotu Street,TRUE
CUS65231912660,Steve,Reyes,(922) 456-3356,mukvi@epko.ag,Male,1350 Hemar Glen,TRUE
CUS63819971424,Jacob,Mendez,(203) 877-5142,peto@nij.tl,Female,556 Nigiw Drive,FALSE
CUS26936473848,Lola,Chapman,(510) 670-4545,lopgu@fefew.sh,Female,1630 Sodof Turnpike,FALSE
CUS74927826536,Sylvia,Jones,(558) 268-8450,komartis@efbe.pl,Female,1432 Nuici Glen,FALSE
CUS34424004348,Lloyd,Larson,(443) 393-5967,ibagov@tapsu.vc,Male,897 Apaar Key,FALSE
CUS46465675224,Louisa,Lambert,(200) 584-7344,mo@koratcel.bm,Male,1395 Utfiz Park,TRUE
CUS81748366436,Millie,Perkins,(773) 259-6738,we@saraw.mk,Male,1353 Kigbo Key,TRUE
CUS82714489836,Rachel,Gutierrez,(964) 386-6663,wi@hamzu.tp,Male,1306 Varoj Pike,FALSE
CUS85362221912,Francis,Wheeler,(737) 980-6797,bo@balafo.cw,Female,1015 Hazpim Manor,TRUE
CUS81984786912,Blake,Clarke,(486) 619-4923,unbel@meptugu.ir,Female,839 Hawkud Loop,TRUE
CUS34225552648,Eva,Maxwell,(210) 349-3250,rakerwa@lo.pm,Female,1394 Hasosa Mill,TRUE
CUS94751495360,Chad,Cain,(377) 481-6832,pouwzoz@wunkog.bt,Female,399 Nege Court,TRUE
CUS81253003836,Jose,Moore,(933) 546-2713,nile@relif.mw,Female,1707 Durov Manor,FALSE
CUS18283823836,Addie,Holmes,(260) 662-8374,kam@tivapej.im,Male,631 Falesu Parkway,TRUE
CUS85208247348,Rebecca,Cooper,(839) 381-2244,uwcud@romrefzi.fk,Female,1944 Ulson Road,TRUE
CUS27389614948,Harriet,Obrien,(947) 444-6535,up@si.pa,Female,1067 Nani Grove,TRUE
CUS56786497836,Jack,Sims,(457) 684-8393,venujban@jet.iq,Female,130 Doemu Ridge,TRUE
CUS14670641224,Miguel,Vega,(249) 280-7401,emuma@vot.sy,Female,1003 Pikwa Court,FALSE
CUS61640435936,Blake,Stevens,(305) 455-8601,wu@noliov.pn,Male,29 Wohuz Point,TRUE
CUS83996534948,Mark,Allison,(275) 906-4284,giusu@bawhigeg.kh,Female,881 Kate Drive,FALSE
CUS12842690736,Cornelia,Barnes,(284) 502-4117,omumompi@reve.kp,Female,1970 Zarbu Avenue,FALSE
CUS35975347124,Maud,Howard,(676) 403-5838,ibvo@caw.kg,Male,1565 Potez Loop,FALSE
CUS25759696224,George,Robinson,(428) 547-6785,ugi@tu.kr,Female,555 Votdo Road,FALSE
CUS94159437524,Susie,Reese,(460) 895-4004,fe@wuasta.ne,Female,1246 Lozi Lane,FALSE
CUS12470881848,Cornelia,Malone,(727) 474-6747,majatcu@zo.am,Female,1394 Mavez Key,TRUE
CUS45990231536,George,Kelley,(482) 985-9240,bubad@beow.zm,Female,882 Nopki Point,TRUE
CUS84634841924,Andrew,Watts,(739) 236-4983,pazcujupe@ife.kz,Male,1085 Bupup Highway,FALSE
CUS70449387060,Garrett,Myers,(338) 606-5676,bum@gib.qa,Female,939 Itfuc View,TRUE
CUS36312590112,Maggie,McCarthy,(266) 331-3424,zolsuczi@kasabciz.by,Male,1592 Modta Circle,TRUE
CUS55138021524,Mark,Fuller,(635) 473-2679,cohvebir@adzotco.ru,Male,504 Ewbej Place,TRUE
CUS57601997036,David,McKinney,(416) 652-3040,amaro@ewakorji.lc,Male,887 Bodu Mill,TRUE
CUS65715308648,Eddie,Clayton,(523) 297-9514,sulo@nuzwev.su,Male,1904 Furci Park,TRUE
CUS21764844736,Bernard,Santos,(519) 960-9570,ecaduwnij@rasizake.mh,Female,14 Pimo Turnpike,TRUE
CUS28307980236,Gabriel,Torres,(451) 956-4002,jon@id.mm,Male,1975 Getduj Square,TRUE
CUS92478231548,Landon,Mitchell,(346) 691-5899,te@veokiji.pg,Male,1238 Rafcaf Square,FALSE
CUS30741220048,Theresa,Phelps,(647) 881-2729,ehowus@rucu.cy,Male,1389 Kesu Point,TRUE
CUS27307824548,Walter,Santos,(826) 215-4368,dic@pufrahow.cd,Female,1705 Lofer Pike,TRUE
